Name,Nomenclatural status,Taxonomic status
Leptospira abararensis Korba et al. 2021,validly published under the ICNP,correct name
Leptospira adleri Thibeaux et al. 2020,validly published under the ICNP,correct name
Leptospira ainazelensis Korba et al. 2021,validly published under the ICNP,correct name
Leptospira ainlahdjerensis Korba et al. 2021,validly published under the ICNP,correct name
Leptospira alexanderi Brenner et al. 1999,validly published under the ICNP,correct name
Leptospira alstonii Smythe et al. 2013,validly published under the ICNP,correct name
"""Leptospira andamana"" Tripathy et al. 1971",not validly published,
Leptospira andrefontaineae Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira bandrabouensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira barantonii Thibeaux et al. 2020,validly published under the ICNP,correct name
Leptospira biflexa (Wolbach and Binger 1914) Noguchi 1918 (Approved Lists 1980),validly published under the ICNP,correct name
Leptospira borgpetersenii Yasuda et al. 1987,validly published under the ICNP,correct name
Leptospira bourretii Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira bouyouniensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira brenneri Thibeaux et al. 2020,validly published under the ICNP,correct name
"""Leptospira brihuegai"" Grune Loffler et al. 2015",not validly published,
Leptospira broomii Levett et al. 2006,validly published under the ICNP,correct name
Leptospira chreensis Korba et al. 2021,validly published under the ICNP,correct name
Leptospira congkakensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira dzianensis Vincent et al. 2020,validly published under the ICNP,synonym
Leptospira dzoumogneensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira ellinghausenii Masuzawa et al. 2019,validly published under the ICNP,correct name
"""Leptospira ellinghausenii"" Vincent et al. 2019",not validly published,
Leptospira ellisii Thibeaux et al. 2020,validly published under the ICNP,correct name
Leptospira fainei Perolat et al. 1998,validly published under the ICNP,correct name
Leptospira fletcheri Vincent et al. 2020,validly published under the ICNP,correct name
"""Leptospira fluminis"" Vincent et al. 2019",not validly published,
Leptospira gomenensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira haakeii Thibeaux et al. 2020,validly published under the ICNP,correct name
"""Leptospira hardjobovis"" Srinivas et al. 2013",not validly published,
Leptospira harrisiae Thibeaux et al. 2020,validly published under the ICNP,correct name
Leptospira hartskeerlii Thibeaux et al. 2020,validly published under the ICNP,correct name
"""Leptospira icteroides"" Noguchi 1919",not validly published,
Leptospira idonii Saito et al. 2013,validly published under the ICNP,correct name
"""Leptospira illini"" Tripathy and Hanson 1972",not validly published,
Leptospira ilyithenensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira inadai Yasuda et al. 1987,validly published under the ICNP,correct name
Leptospira interrogans (Stimson 1907) Wenyon 1926 (Approved Lists 1980),validly published under the ICNP,correct name
Leptospira jelokensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira johnsonii Masuzawa et al. 2019,validly published under the ICNP,correct name
"""Leptospira johnsonii"" Vincent et al. 2019",not validly published,
Leptospira kanakyensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira kemamanensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira kirschneri Ramadass et al. 1992,validly published under the ICNP,correct name
Leptospira kmetyi Slack et al. 2009,validly published under the ICNP,correct name
Leptospira kobayashii Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira koniamboensis Vincent et al. 2020,orthographic variant,misspelling
Leptospira koniambonensis corrig. Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira langatensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira levettii Thibeaux et al. 2020,validly published under the ICNP,correct name
Leptospira licerasiae Matthias et al. 2009,validly published under the ICNP,correct name
"""Leptospira macculloughii"" Thibeaux et al. 2018",not validly published,
Leptospira mayottensis Bourhy et al. 2014,validly published under the ICNP,correct name
Leptospira meyeri Yasuda et al. 1987,validly published under the ICNP,correct name
Leptospira montravelensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira mtsangambouensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira neocaledonica Thibeaux et al. 2020,validly published under the ICNP,correct name
Leptospira noguchii Yasuda et al. 1987,validly published under the ICNP,correct name
Leptospira noumeaensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira ognonensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira parva Hovind-Hougen et al. 1982,validly published under the ICNP,synonym
Leptospira perdikensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira perolatii Thibeaux et al. 2020,validly published under the ICNP,correct name
Leptospira putramalaysiae Vincent et al. 2020,validly published under the ICNP,synonym
"""Leptospira ryugenii"" Vincent et al. 2019",not validly published,
Leptospira ryugenii Masuzawa et al. 2019,validly published under the ICNP,correct name
Leptospira saintgironsiae Thibeaux et al. 2020,validly published under the ICNP,correct name
Leptospira santarosai Yasuda et al. 1987,validly published under the ICNP,correct name
Leptospira sarikeiensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira selangorensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira semungkisensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira stimsonii Casanovas-Massana et al. 2020,validly published under the ICNP,correct name
Leptospira terpstrae Smythe et al. 2013,validly published under the ICNP,correct name
Leptospira tipperaryensis Vincent et al. 2020,validly published under the ICNP,correct name
Leptospira vanthielii Smythe et al. 2013,validly published under the ICNP,correct name
Leptospira venezuelensis Puche et al. 2018,validly published under the ICNP,correct name
Leptospira weilii Yasuda et al. 1987,validly published under the ICNP,correct name
Leptospira wolbachii Yasuda et al. 1987,validly published under the ICNP,correct name
Leptospira wolffii Slack et al. 2008,validly published under the ICNP,correct name
Leptospira yanagawae Smythe et al. 2013,validly published under the ICNP,correct name
Leptospira yasudae Casanovas-Massana et al. 2020,validly published under the ICNP,correct name
