Locus	Allele	Length	Contig	Start position	End position	Flags
adk2	4	430	NZ_CP043876.1	3520124	3520553	
adk3	5	429	NZ_CP043876.1	3520125	3520553	
caiB1	6	402	NZ_CP043876.1	1204702	1205103	
glmU1	1	444	NZ_CP043876.1	481155	481598	
glmU2	1	444	NZ_CP043876.1	481155	481598	
icdA2	2	557	NZ_CP043876.1	4064479	4065035	
icdA3	2	555	NZ_CP043876.1	4064481	4065035	
LEPT00001	14	1314	NZ_CP043876.1	1	1314	
LEPT00002	18	1122	NZ_CP043876.1	2953	4074	
LEPT00003	71	1098	NZ_CP043876.1	4736	5833	
LEPT00004	14	465	NZ_CP043876.1	5830	6294	
LEPT00005	78	1920	NZ_CP043876.1	6360	8279	
LEPT00006	79	2505	NZ_CP043876.1	8298	10802	
LEPT00007	56	990	NZ_CP043876.1	10807	11796	
LEPT00011	39	561	NZ_CP043876.1	14890	15450	
LEPT00012	78	1548	NZ_CP043876.1	15589	17136	
LEPT00013	1	894	NZ_CP043876.1	17158	18051	
LEPT00014	57	1089	NZ_CP043876.1	17993	19081	
LEPT00016	11	216	NZ_CP043876.1	19653	19868	
LEPT00017	1	564	NZ_CP043876.1	19859	20422	
LEPT00020	47	744	NZ_CP043876.1	22032	22775	
LEPT00025	1	1014	NZ_CP043876.1	27851	28864	
LEPT00027	73	2277	NZ_CP043876.1	28929	31205	
LEPT00029	3	558	NZ_CP043876.1	31894	32451	
LEPT00030	56	1203	NZ_CP043876.1	32423	33625	
LEPT00031	4	705	NZ_CP043876.1	33851	34555	
LEPT00033	1	849	NZ_CP043876.1	34915	35763	
LEPT00034	3	912	NZ_CP043876.1	35783	36694	
LEPT00035	77	1977	NZ_CP043876.1	37303	39279	
LEPT00036	1	858	NZ_CP043876.1	39465	40322	
LEPT00040	79	2256	NZ_CP043876.1	41585	43840	
LEPT00043	70	1509	NZ_CP043876.1	46271	47779	
LEPT00045	17	705	NZ_CP043876.1	47990	48694	
LEPT00046	70	969	NZ_CP043876.1	48698	49666	
LEPT00047	1	540	NZ_CP043876.1	49650	50189	
LEPT00048	4	480	NZ_CP043876.1	50173	50652	
LEPT00049	73	1698	NZ_CP043876.1	51736	53433	
LEPT00050	46	879	NZ_CP043876.1	54039	54917	
LEPT00051	1	939	NZ_CP043876.1	54914	55852	
LEPT00052	73	1170	NZ_CP043876.1	55926	57095	
LEPT00053	1	537	NZ_CP043876.1	57054	57590	
LEPT00054	1	1320	NZ_CP043876.1	57587	58906	
LEPT00055	70	1149	NZ_CP043876.1	58913	60061	
LEPT00056	82	2064	NZ_CP043876.1	60071	62134	
LEPT00059	14	663	NZ_CP043876.1	63874	64536	
LEPT00060	14	903	NZ_CP043876.1	65182	66084	
LEPT00061	50	909	NZ_CP043876.1	66191	67099	
LEPT00062	16	708	NZ_CP043876.1	67823	68530	
LEPT00063	16	927	NZ_CP043876.1	68732	69658	
LEPT00064	54	1416	NZ_CP043876.1	69622	71037	
LEPT00065	71	1212	NZ_CP043876.1	71838	73049	
LEPT00066	12	1197	NZ_CP043876.1	73237	74433	
LEPT00067	85	3186	NZ_CP043876.1	74660	77845	
LEPT00068	45	891	NZ_CP043876.1	77838	78728	
LEPT00071	1	471	NZ_CP043876.1	83499	83969	
LEPT00072	1	522	NZ_CP043876.1	84045	84566	
LEPT00073	42	783	NZ_CP043876.1	84567	85349	
LEPT00075	1	210	NZ_CP043876.1	87082	87291	
LEPT00076	1	369	NZ_CP043876.1	87379	87747	
LEPT00078	72	1641	NZ_CP043876.1	88942	90582	
LEPT00082	57	852	NZ_CP043876.1	91414	92265	
LEPT00083	62	846	NZ_CP043876.1	92404	93249	
LEPT00084	1	705	NZ_CP043876.1	93256	93960	
LEPT00085	1	285	NZ_CP043876.1	93999	94283	
LEPT00095	13	411	NZ_CP043876.1	99252	99662	
LEPT00097	1	447	NZ_CP043876.1	99616	100062	
LEPT00098	61	1248	NZ_CP043876.1	100391	101638	
LEPT00101	1	690	NZ_CP043876.1	105007	105696	
LEPT00103	70	1044	NZ_CP043876.1	107290	108333	
LEPT00106	76	2052	NZ_CP043876.1	110703	112754	
LEPT00108	3	660	NZ_CP043876.1	113289	113948	
LEPT00109	56	549	NZ_CP043876.1	113998	114546	
LEPT00110	72	1776	NZ_CP043876.1	114594	116369	
LEPT00111	74	2145	NZ_CP043876.1	116401	118545	
LEPT00113	81	1503	NZ_CP043876.1	119855	121357	
LEPT00114	15	1065	NZ_CP043876.1	121417	122481	
LEPT00115	1	606	NZ_CP043876.1	122522	123127	
LEPT00116	49	1242	NZ_CP043876.1	123228	124469	
LEPT00117	1	1023	NZ_CP043876.1	124798	125820	
LEPT00119	1	435	NZ_CP043876.1	125832	126266	
LEPT00120	1	669	NZ_CP043876.1	126734	127402	
LEPT00124	13	621	NZ_CP043876.1	129329	129949	
LEPT00125	45	609	NZ_CP043876.1	129970	130578	
LEPT00126	4	726	NZ_CP043876.1	130575	131300	
LEPT00127	65	1215	NZ_CP043876.1	131391	132605	
LEPT00129	76	1824	NZ_CP043876.1	133552	135375	
LEPT00130	53	822	NZ_CP043876.1	136380	137201	
LEPT00133	13	1830	NZ_CP043876.1	139351	141180	
LEPT00134	17	957	NZ_CP043876.1	141198	142154	
LEPT00135	44	1302	NZ_CP043876.1	142151	143452	
LEPT00136	1	930	NZ_CP043876.1	143585	144514	
LEPT00137	62	1614	NZ_CP043876.1	144667	146280	
LEPT00138	65	3594	NZ_CP043876.1	146277	149870	
LEPT00140	1	654	NZ_CP043876.1	150591	151244	
LEPT00141	57	939	NZ_CP043876.1	151294	152232	
LEPT00144	1	654	NZ_CP043876.1	153715	154368	
LEPT00145	64	1302	NZ_CP043876.1	154365	155666	
LEPT00146	70	2100	NZ_CP043876.1	156455	158554	
LEPT00147	1	1227	NZ_CP043876.1	159229	160455	
LEPT00150	69	1821	NZ_CP043876.1	160896	162716	
LEPT00151	38	615	NZ_CP043876.1	162889	163503	
LEPT00153	1	1470	NZ_CP043876.1	163670	165139	
LEPT00156	53	1497	NZ_CP043876.1	166367	167863	
LEPT00157	72	1143	NZ_CP043876.1	167925	169067	
LEPT00160	78	1449	NZ_CP043876.1	169871	171319	
LEPT00161	44	528	NZ_CP043876.1	171306	171833	
LEPT00172	73	2343	NZ_CP043876.1	179324	181666	
LEPT00175	1	162	NZ_CP043876.1	182875	183036	
LEPT00178	1	1884	NZ_CP043876.1	183597	185480	
LEPT00179	14	711	NZ_CP043876.1	185512	186222	
LEPT00180	83	1371	NZ_CP043876.1	186215	187585	
LEPT00181	82	1263	NZ_CP043876.1	187633	188895	
LEPT00184	89	2079	NZ_CP043876.1	189596	191674	
LEPT00185	73	1395	NZ_CP043876.1	191761	193155	
LEPT00194	11	240	NZ_CP043876.1	196162	196401	
LEPT00222	5	588	NZ_CP043876.1	218945	219532	
LEPT00223	3	939	NZ_CP043876.1	219668	220606	
LEPT00224	55	843	NZ_CP043876.1	220575	221417	
LEPT00226	75	990	NZ_CP043876.1	222249	223238	
LEPT00228	39	315	NZ_CP043876.1	224210	224524	
LEPT00232	3	1050	NZ_CP043876.1	226962	228011	
LEPT00234	55	1005	NZ_CP043876.1	229063	230067	
LEPT00238	51	948	NZ_CP043876.1	233008	233955	
LEPT00241	5	840	NZ_CP043876.1	234383	235222	
LEPT00242	14	966	NZ_CP043876.1	235269	236234	
LEPT00243	80	1605	NZ_CP043876.1	236245	237849	
LEPT00244	16	645	NZ_CP043876.1	237836	238480	
LEPT00249	1	546	NZ_CP043876.1	241737	242282	
LEPT00250	63	1032	NZ_CP043876.1	242323	243354	
LEPT00251	1	1593	NZ_CP043876.1	243416	245008	
LEPT00254	1	795	NZ_CP043876.1	246620	247414	
LEPT00255	64	777	NZ_CP043876.1	247407	248183	
LEPT00256	83	1461	NZ_CP043876.1	248297	249757	
LEPT00258	88	3411	NZ_CP043876.1	251287	254697	
LEPT00261	4	906	NZ_CP043876.1	256607	257512	
LEPT00262	60	900	NZ_CP043876.1	255670	256569	
LEPT00263	1	729	NZ_CP043876.1	257548	258276	
LEPT00266	48	687	NZ_CP043876.1	260254	260940	
LEPT00272	66	1014	NZ_CP043876.1	264462	265475	
LEPT00273	67	1374	NZ_CP043876.1	265602	266975	
LEPT00274	45	678	NZ_CP043876.1	266977	267654	
LEPT00278	1	285	NZ_CP043876.1	269928	270212	
LEPT00280	16	1218	NZ_CP043876.1	271154	272371	
LEPT00281	49	687	NZ_CP043876.1	272392	273078	
LEPT00284	13	696	NZ_CP043876.1	275436	276131	
LEPT00288	14	1098	NZ_CP043876.1	278818	279915	
LEPT00292	70	1182	NZ_CP043876.1	281512	282693	
LEPT00293	76	2316	NZ_CP043876.1	283748	286063	
LEPT00294	73	1086	NZ_CP043876.1	286065	287150	
LEPT00296	18	1248	NZ_CP043876.1	287727	288974	
LEPT00298	13	876	NZ_CP043876.1	289726	290601	
LEPT00299	84	2106	NZ_CP043876.1	290746	292851	
LEPT00300	14	549	NZ_CP043876.1	292848	293396	
LEPT00301	78	1770	NZ_CP043876.1	293704	295473	
LEPT00308	1	861	NZ_CP043876.1	299346	300206	
LEPT00309	1	666	NZ_CP043876.1	301481	302146	
LEPT00310	5	1056	NZ_CP043876.1	302146	303201	
LEPT00311	1	1251	NZ_CP043876.1	303212	304462	
LEPT00313	71	2121	NZ_CP043876.1	305395	307515	
LEPT00314	74	1620	NZ_CP043876.1	307802	309421	
LEPT00319	14	900	NZ_CP043876.1	311726	312625	
LEPT00321	2	771	NZ_CP043876.1	314602	315372	
LEPT00325	44	1023	NZ_CP043876.1	317672	318694	
LEPT00326	65	942	NZ_CP043876.1	319016	319957	
LEPT00327	61	780	NZ_CP043876.1	319938	320717	
LEPT00330	85	2517	NZ_CP043876.1	322544	325060	
LEPT00332	2	387	NZ_CP043876.1	326575	326961	
LEPT00333	47	729	NZ_CP043876.1	326971	327699	
LEPT00334	5	285	NZ_CP043876.1	327777	328061	
LEPT00335	64	1401	NZ_CP043876.1	328064	329464	
LEPT00339	1	972	NZ_CP043876.1	332489	333460	
LEPT00346	13	462	NZ_CP043876.1	337633	338094	
LEPT00347	1	432	NZ_CP043876.1	338160	338591	
LEPT00351	63	1050	NZ_CP043876.1	339774	340823	
LEPT00360	86	2895	NZ_CP043876.1	347084	349978	
LEPT00361	14	393	NZ_CP043876.1	350018	350410	
LEPT00365	52	1674	NZ_CP043876.1	353598	355271	
LEPT00366	46	1092	NZ_CP043876.1	355431	356522	
LEPT00369	1	438	NZ_CP043876.1	357608	358045	
LEPT00373	12	603	NZ_CP043876.1	360594	361196	
LEPT00374	84	2091	NZ_CP043876.1	361216	363306	
LEPT00375	70	933	NZ_CP043876.1	363303	364235	
LEPT00376	59	972	NZ_CP043876.1	364348	365319	
LEPT00378	4	1137	NZ_CP043876.1	365994	367130	
LEPT00379	81	1575	NZ_CP043876.1	367127	368701	
LEPT00380	12	663	NZ_CP043876.1	369032	369694	
LEPT00388	72	1314	NZ_CP043876.1	377630	378943	
LEPT00390	1	426	NZ_CP043876.1	380055	380480	
LEPT00391	85	2541	NZ_CP043876.1	380483	383023	
LEPT00392	68	786	NZ_CP043876.1	383168	383953	
LEPT00401	40	483	NZ_CP043876.1	392714	393196	
LEPT00402	4	915	NZ_CP043876.1	393404	394318	
LEPT00403	57	825	NZ_CP043876.1	394311	395135	
LEPT00404	75	1512	NZ_CP043876.1	395219	396730	
LEPT00405	16	906	NZ_CP043876.1	396727	397632	
LEPT00408	67	969	NZ_CP043876.1	400769	401737	
LEPT00409	62	1821	NZ_CP043876.1	401734	403554	
LEPT00410	1	594	NZ_CP043876.1	403560	404153	
LEPT00411	14	960	NZ_CP043876.1	404245	405204	
LEPT00412	1	762	NZ_CP043876.1	405216	405977	
LEPT00414	15	1185	NZ_CP043876.1	406540	407724	
LEPT00417	40	573	NZ_CP043876.1	407844	408416	
LEPT00433	41	546	NZ_CP043876.1	424379	424924	
LEPT00438	72	1698	NZ_CP043876.1	426294	427991	
LEPT00439	71	1647	NZ_CP043876.1	428587	430233	
LEPT00441	63	2019	NZ_CP043876.1	430624	432642	
LEPT00443	35	549	NZ_CP043876.1	434255	434803	
LEPT00447	11	171	NZ_CP043876.1	439295	439465	
LEPT00448	75	1896	NZ_CP043876.1	439581	441476	
LEPT00457	17	1182	NZ_CP043876.1	446770	447951	
LEPT00459	81	1083	NZ_CP043876.1	448593	449675	
LEPT00463	15	456	NZ_CP043876.1	451894	452349	
LEPT00464	1	417	NZ_CP043876.1	452350	452766	
LEPT00465	88	2067	NZ_CP043876.1	452759	454825	
LEPT00469	76	1287	NZ_CP043876.1	458876	460162	
LEPT00471	1	474	NZ_CP043876.1	460601	461074	
LEPT00474	13	1011	NZ_CP043876.1	461986	462996	
LEPT00478	3	519	NZ_CP043876.1	466067	466585	
LEPT00484	58	1047	NZ_CP043876.1	467922	468968	
LEPT00498	43	672	NZ_CP043876.1	3813778	3814449	
LEPT00500	1	678	NZ_CP043876.1	3812970	3813647	
LEPT00503	63	1089	NZ_CP043876.1	3808909	3809997	
LEPT00505	12	1101	NZ_CP043876.1	3806933	3808033	
LEPT00512	62	1023	NZ_CP043876.1	3802363	3803385	
LEPT00514	52	891	NZ_CP043876.1	3799338	3800228	
LEPT00515	1	1239	NZ_CP043876.1	3797836	3799074	
LEPT00520	26	444	NZ_CP043876.1	3795844	3796287	
LEPT00524	62	1398	NZ_CP043876.1	3791343	3792740	
LEPT00530	47	1089	NZ_CP043876.1	3783275	3784363	
LEPT00532	49	777	NZ_CP043876.1	3780449	3781225	
LEPT00533	63	1110	NZ_CP043876.1	3778421	3779530	
LEPT00538	48	705	NZ_CP043876.1	3771953	3772657	
LEPT00544	70	1176	NZ_CP043876.1	3766648	3767823	
LEPT00546	91	2526	NZ_CP043876.1	3763998	3766523	
LEPT00548	1	465	NZ_CP043876.1	3762130	3762594	
LEPT00549	1	528	NZ_CP043876.1	3761603	3762130	
LEPT00552	58	1017	NZ_CP043876.1	3753934	3754950	
LEPT00566	62	1425	NZ_CP043876.1	3736591	3738015	
LEPT00574	1	645	NZ_CP043876.1	3725662	3726306	
LEPT00575	68	1008	NZ_CP043876.1	3724614	3725621	
LEPT00579	72	2226	NZ_CP043876.1	3719760	3721985	
LEPT00581	70	1380	NZ_CP043876.1	3717283	3718662	
LEPT00583	76	3117	NZ_CP043876.1	3714201	3717317	
